Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,1300
Conversion Gain:,2048
Coarse Gain:,4
Fine Gain:,1.26
Upper Discriminator:,1582
Lower Discriminator:,19
Calibration Coefficients:,2.3506120764788457E-5,0.7050701467544402,0.9207478481151286
Calibration Channels:,123,1782,910
Calibration Energies:,88.0,1332.0,662.0
Elapsed Real Time:,350.55
Elapsed Live Time:,324.64
Start Time:,March 12, 2019, 12:40:23
End Time:,March 12, 2019, 12:39:29
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,1504,1656,115,114,5,1177
2,1712,1852,87,86,0,1328
3,20,56,902714,827660,18,26
4,97,128,323010,125233,20,80
5,456,523,207764,49085,44,351
6,149,173,47715,4989,17,114
7,198,241,57775,5568,21,156

Channel Data:
Channel,Energy,Counts
59,42.60171131300933,3034
60,43.30957868813478,2995
61,44.01749307550176,2941
62,44.72545447511027,3030
63,45.433462886960314,3067
64,46.141518311051875,3022
65,46.84962074738497,3230
66,47.557770195959606,3272
67,48.26596665677576,3384
68,48.974210129833445,3505
69,49.68250061513266,3487
70,50.39083811267341,3674
71,51.099222622455684,3534
72,51.80765414447949,3830
73,52.516132678744825,3862
74,53.22465822525169,3847
75,53.93323078400008,4045
76,54.641850354990005,4034
77,55.35051693822146,4161
78,56.05923053369444,4197
79,56.767991141408956,4207
80,57.47679876136499,4209
81,58.18565339356256,4358
82,58.89455503800166,4504
83,59.603503694682296,4480
84,60.31249936360446,4653
85,61.02154204476814,4746
86,61.730631738173365,4813
87,62.439768443820114,4928
88,63.14895216170839,5002
89,63.8581828918382,5271
90,64.56746063420954,5203
91,65.2767853888224,5471
92,65.98615715567679,5479
93,66.69557593477272,5963
94,67.40504172611018,5991
95,68.11455452968917,6493
96,68.82411434550968,6540
97,69.53372117357172,7206
98,70.2433750138753,7436
99,70.9530758664204,7940
100,71.66282373120704,8378
101,72.3726186082352,8954
102,73.08246049750488,9613
103,73.79234939901612,10122
104,74.50228531276886,10560
105,75.21226823876314,11135
106,75.92229817699895,11467
107,76.6323751274763,12132
108,77.34249909019518,12281
109,78.05267006515557,12636
110,78.7628880523575,12853
111,79.47315305180095,13135
112,80.18346506348594,13119
113,80.89382408741247,13021
114,81.6042301235805,12594
115,82.31468317199008,12695
116,83.02518323264118,12297
117,83.73573030553383,11820
118,84.446324390668,11415
119,85.15696548804368,10875
120,85.8676535976609,10315
121,86.57838871951965,9507
122,87.28917085361995,8983
123,87.99999999996176,8291
124,88.7108761585451,7603
125,89.42179932936997,7011
126,90.13276951243638,6402
127,90.84378670774431,5896
128,91.55485091529377,5318
129,92.26596213508476,4693
130,92.97712036711728,4185
131,93.68832561139133,3842
132,94.39957786790691,3580
133,95.11087713666402,3162
134,95.82222341766266,2764
135,96.53361671090283,2524
136,97.24505701638454,2369
137,97.95654433410776,2150
138,98.66807866407251,2018
139,99.3796600062788,1893
140,100.09128836072662,1761
141,100.80296372741596,1777
142,101.51468610634683,1675
143,102.22645549751924,1661
144,102.93827190093319,1714
145,103.65013531658865,1698
146,104.36204574448563,1636
147,105.07400318462416,1698
148,105.7860076370042,1714
149,106.4980591016258,1775
150,107.2101575784889,1838
151,107.92230306759355,1830
152,108.63449556893971,1893
153,109.34673508252742,1818
154,110.05902160835664,1968
155,110.77135514642741,2016
156,111.4837356967397,1992
157,112.19616325929351,1913
158,112.90863783408886,2042
159,113.62115942112574,2053
160,114.33372802040415,1961
161,115.04634363192409,2065
162,115.75900625568555,2061
163,116.47171589168856,1982
164,117.18447253993308,2073
165,117.89727620041913,1998
166,118.61012687314671,1898
167,119.32302455811583,1898
168,120.03596925532648,1838
169,120.74896096477865,1922
170,121.46199968647235,1808
171,122.17508542040758,1765
172,122.88821816658435,1686
173,123.60139792500264,1622
174,124.31462469566246,1625
175,125.02789847856381,1554
176,125.74121927370669,1433
177,126.4545870810911,1501
178,127.16800190071704,1394
179,127.88146373258452,1330
180,128.59497257669352,1363
181,129.30852843304405,1321
182,130.0221313016361,1175
