Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,1300
Conversion Gain:,2048
Coarse Gain:,4
Fine Gain:,1.26
Upper Discriminator:,1582
Lower Discriminator:,19
Calibration Coefficients:,2.3506120764788457E-5,0.7050701467544402,0.9207478481151286
Calibration Channels:,123,1782,910
Calibration Energies:,88.0,1332.0,662.0
Elapsed Real Time:,535.34
Elapsed Live Time:,528.2
Start Time:,March 12, 2019, 12:10:47
End Time:,March 12, 2019, 12:09:47
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,88,151,45378,33214,27,86
2,234,282,1776,327,4,183

Channel Data:
Channel,Energy,Counts
67,48.26596665677576,130
68,48.974210129833445,163
69,49.68250061513266,127
70,50.39083811267341,162
71,51.099222622455684,150
72,51.80765414447949,191
73,52.516132678744825,197
74,53.22465822525169,185
75,53.93323078400008,178
76,54.641850354990005,204
77,55.35051693822146,182
78,56.05923053369444,205
79,56.767991141408956,217
80,57.47679876136499,219
81,58.18565339356256,213
82,58.89455503800166,213
83,59.603503694682296,214
84,60.31249936360446,220
85,61.02154204476814,240
86,61.730631738173365,237
87,62.439768443820114,242
88,63.14895216170839,255
89,63.8581828918382,255
90,64.56746063420954,265
91,65.2767853888224,266
92,65.98615715567679,274
93,66.69557593477272,296
94,67.40504172611018,298
95,68.11455452968917,320
96,68.82411434550968,301
97,69.53372117357172,348
98,70.2433750138753,362
99,70.9530758664204,356
100,71.66282373120704,384
101,72.3726186082352,448
102,73.08246049750488,456
103,73.79234939901612,445
104,74.50228531276886,518
105,75.21226823876314,558
106,75.92229817699895,593
107,76.6323751274763,643
108,77.34249909019518,637
109,78.05267006515557,693
110,78.7628880523575,724
111,79.47315305180095,830
112,80.18346506348594,907
113,80.89382408741247,918
114,81.6042301235805,1028
115,82.31468317199008,1073
116,83.02518323264118,1150
117,83.73573030553383,1207
118,84.446324390668,1216
119,85.15696548804368,1318
120,85.8676535976609,1304
121,86.57838871951965,1398
122,87.28917085361995,1347
123,87.99999999996176,1307
124,88.7108761585451,1414
125,89.42179932936997,1431
126,90.13276951243638,1330
127,90.84378670774431,1344
128,91.55485091529377,1285
129,92.26596213508476,1194
130,92.97712036711728,1212
131,93.68832561139133,1205
132,94.39957786790691,1106
133,95.11087713666402,1032
134,95.82222341766266,919
135,96.53361671090283,894
136,97.24505701638454,789
137,97.95654433410776,752
138,98.66807866407251,647
139,99.3796600062788,584
140,100.09128836072662,486
141,100.80296372741596,517
142,101.51468610634683,463
143,102.22645549751924,380
144,102.93827190093319,318
145,103.65013531658865,253
146,104.36204574448563,273
147,105.07400318462416,216
148,105.7860076370042,179
149,106.4980591016258,178
150,107.2101575784889,158
151,107.92230306759355,121
152,108.63449556893971,116
153,109.34673508252742,99
154,110.05902160835664,105
155,110.77135514642741,91
156,111.4837356967397,73
157,112.19616325929351,77
158,112.90863783408886,69
159,113.62115942112574,60
160,114.33372802040415,62
161,115.04634363192409,56
162,115.75900625568555,65
163,116.47171589168856,64
164,117.18447253993308,50
165,117.89727620041913,66
166,118.61012687314671,55
167,119.32302455811583,51
168,120.03596925532648,45
169,120.74896096477865,55
170,121.46199968647235,60
171,122.17508542040758,49
172,122.88821816658435,34
173,123.60139792500264,38
174,124.31462469566246,49
175,125.02789847856381,40
176,125.74121927370669,58
177,126.4545870810911,40
178,127.16800190071704,52
179,127.88146373258452,44
180,128.59497257669352,49
181,129.30852843304405,53
182,130.0221313016361,43
183,130.7357811824697,52
184,131.44947807554482,45
185,132.16322198086146,39
186,132.87701289841962,51
187,133.59085082821935,46
188,134.30473577026058,41
189,135.01866772454335,37
190,135.73264669106763,41
191,136.44667266983345,45
192,137.1607456608408,44
193,137.8748656640897,39
194,138.5890326795801,42
195,139.30324670731207,41
196,140.01750774728552,46
197,140.73181579950054,46
198,141.44617086395706,36
199,142.16057294065513,40
200,142.8750220295947,48
201,143.58951813077582,34
202,144.3040612441985,33
203,145.01865136986268,47
204,145.73328850776835,42
205,146.4479726579156,36
206,147.1627038203044,41
207,147.87748199493467,40
208,148.59230718180652,50
209,149.30717938091985,35
210,150.02209859227474,25
211,150.73706481587118,39
212,151.4520780517091,45
213,152.1671382997886,44
214,152.88224556010957,30
215,153.59739983267212,33
216,154.3126011174762,38
217,155.02784941452177,36
218,155.7431447238089,42
219,156.45848704533753,43
220,157.17387637910775,40
221,157.88931272511945,44
222,158.6047960833727,41
223,159.32032645386747,30
224,160.03590383660375,42
225,160.7515282315816,46
226,161.46719963880096,45
227,162.18291805826183,37
228,162.89868348996427,34
229,163.61449593390822,39
230,164.3303553900937,40
231,165.0462618585207,36
232,165.76221533918923,50
