Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,1300
Conversion Gain:,2048
Coarse Gain:,4
Fine Gain:,1.26
Upper Discriminator:,1582
Lower Discriminator:,19
Calibration Coefficients:,2.3506120764788457E-5,0.7050701467544402,0.9207478481151286
Calibration Channels:,123,1782,910
Calibration Energies:,88.0,1332.0,662.0
Elapsed Real Time:,532.19
Elapsed Live Time:,443.86
Start Time:,March 12, 2019, 12:03:58
End Time:,March 12, 2019, 12:09:47
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,781,1029,1881829,1661089,102,662
2,605,629,107775,1351,5,444
3,237,325,702098,96007,50,200
4,85,126,313845,30050,25,75
5,27,63,1011538,487505,17,29

Channel Data:
Channel,Energy,Counts
62,44.72545447511027,7781
63,45.433462886960314,7602
64,46.141518311051875,7295
65,46.84962074738497,7223
66,47.557770195959606,6997
67,48.26596665677576,6850
68,48.974210129833445,6805
69,49.68250061513266,6895
70,50.39083811267341,6730
71,51.099222622455684,6676
72,51.80765414447949,6713
73,52.516132678744825,6725
74,53.22465822525169,6674
75,53.93323078400008,6734
76,54.641850354990005,6735
77,55.35051693822146,6804
78,56.05923053369444,6658
79,56.767991141408956,6656
80,57.47679876136499,6817
81,58.18565339356256,6773
82,58.89455503800166,6858
83,59.603503694682296,6987
84,60.31249936360446,6914
85,61.02154204476814,6935
86,61.730631738173365,7051
87,62.439768443820114,7271
88,63.14895216170839,7232
89,63.8581828918382,7315
90,64.56746063420954,7300
91,65.2767853888224,7417
92,65.98615715567679,7469
93,66.69557593477272,7684
94,67.40504172611018,7550
95,68.11455452968917,7626
96,68.82411434550968,7714
97,69.53372117357172,7893
98,70.2433750138753,7943
99,70.9530758664204,7850
100,71.66282373120704,8043
101,72.3726186082352,8080
102,73.08246049750488,8220
103,73.79234939901612,8003
104,74.50228531276886,7949
105,75.21226823876314,7913
106,75.92229817699895,8022
107,76.6323751274763,7929
108,77.34249909019518,7983
109,78.05267006515557,7710
110,78.7628880523575,7801
111,79.47315305180095,7584
112,80.18346506348594,7526
113,80.89382408741247,7626
114,81.6042301235805,7421
115,82.31468317199008,7496
116,83.02518323264118,7513
117,83.73573030553383,7262
118,84.446324390668,7140
119,85.15696548804368,7112
120,85.8676535976609,7012
121,86.57838871951965,6833
122,87.28917085361995,6827
123,87.99999999996176,6796
124,88.7108761585451,6729
125,89.42179932936997,6576
126,90.13276951243638,6489
127,90.84378670774431,6582
128,91.55485091529377,6243
129,92.26596213508476,6258
130,92.97712036711728,6242
131,93.68832561139133,5986
132,94.39957786790691,6150
133,95.11087713666402,6216
134,95.82222341766266,5984
135,96.53361671090283,6147
136,97.24505701638454,5958
137,97.95654433410776,5986
138,98.66807866407251,5728
139,99.3796600062788,5910
140,100.09128836072662,5893
141,100.80296372741596,5877
142,101.51468610634683,5729
143,102.22645549751924,5710
144,102.93827190093319,5693
145,103.65013531658865,5799
146,104.36204574448563,5752
147,105.07400318462416,5652
148,105.7860076370042,5663
149,106.4980591016258,5710
150,107.2101575784889,5696
151,107.92230306759355,5709
152,108.63449556893971,5746
153,109.34673508252742,5796
154,110.05902160835664,5602
155,110.77135514642741,5669
156,111.4837356967397,5735
157,112.19616325929351,5668
158,112.90863783408886,5743
159,113.62115942112574,5547
160,114.33372802040415,5604
161,115.04634363192409,5717
162,115.75900625568555,5622
163,116.47171589168856,5681
164,117.18447253993308,5766
165,117.89727620041913,5794
166,118.61012687314671,5655
167,119.32302455811583,5832
168,120.03596925532648,5697
169,120.74896096477865,5706
170,121.46199968647235,5772
171,122.17508542040758,5778
172,122.88821816658435,5657
173,123.60139792500264,5821
174,124.31462469566246,5718
175,125.02789847856381,5763
176,125.74121927370669,5645
177,126.4545870810911,5730
178,127.16800190071704,5751
179,127.88146373258452,5760
180,128.59497257669352,5651
181,129.30852843304405,5706
182,130.0221313016361,5802
183,130.7357811824697,5773
184,131.44947807554482,5767
185,132.16322198086146,5769
186,132.87701289841962,5607
187,133.59085082821935,5797
188,134.30473577026058,5745
189,135.01866772454335,5824
190,135.73264669106763,5792
191,136.44667266983345,5636
192,137.1607456608408,5500
193,137.8748656640897,5858
194,138.5890326795801,5911
195,139.30324670731207,5742
196,140.01750774728552,5701
197,140.73181579950054,5929
198,141.44617086395706,5901
199,142.16057294065513,5864
200,142.8750220295947,5865
201,143.58951813077582,5683
202,144.3040612441985,5789
203,145.01865136986268,5767
204,145.73328850776835,5808
205,146.4479726579156,5783
206,147.1627038203044,5796
207,147.87748199493467,5735
208,148.59230718180652,5834
209,149.30717938091985,5895
210,150.02209859227474,6004
211,150.73706481587118,5933
212,151.4520780517091,5816
213,152.1671382997886,5854
214,152.88224556010957,5878
215,153.59739983267212,5926
216,154.3126011174762,5871
217,155.02784941452177,5889
218,155.7431447238089,5856
219,156.45848704533753,5897
220,157.17387637910775,5924
221,157.88931272511945,6040
222,158.6047960833727,6081
223,159.32032645386747,6130
224,160.03590383660375,6098
225,160.7515282315816,6073
226,161.46719963880096,6272
227,162.18291805826183,6217
228,162.89868348996427,6187
229,163.61449593390822,6436
230,164.3303553900937,6226
231,165.0462618585207,6390
232,165.76221533918923,6508
233,166.4782158320993,6476
234,167.1942633372509,6521
235,167.91035785464402,6582
236,168.62649938427867,6665
237,169.34268792615487,6770
238,170.05892348027257,6569
239,170.77520604663184,6864
240,171.4915356252326,6952
241,172.2079122160749,6874
242,172.92433581915873,7037
243,173.6408064344841,7039
244,174.357324062051,7020
245,175.0738887018594,7072
246,175.79050035390938,7236
247,176.50715901820087,7392
248,177.22386469473386,7357
249,177.9406173835084,7478
250,178.65741708452447,7443
251,179.37426379778208,7554
252,180.0911575232812,7780
253,180.80809826102185,7876
254,181.52508601100405,7968
255,182.24212077322775,7970
256,182.959202547693,8019
257,183.6763313343998,8158
258,184.3935071333481,8120
259,185.11072994453792,8187
260,185.8279997679693,8177
261,186.5453166036422,8390
262,187.2626804515566,8299
263,187.98009131171256,8500
264,188.69754918411004,8380
265,189.41505406874904,8614
266,190.1326059656296,8457
267,190.85020487475168,8562
268,191.56785079611527,8661
269,192.28554372972042,8672
270,193.00328367556708,8741
271,193.72107063365524,8657
272,194.43890460398498,8541
273,195.15678558655623,8822
274,195.874713581369,8691
275,196.59268858842333,8761
276,197.31071060771916,8844
277,198.02877963925653,8877
278,198.7468956830354,8891
279,199.46505873905585,8598
280,200.18326880731783,8651
281,200.9015258878213,8716
282,201.61982998056632,8551
283,202.33818108555283,8696
284,203.05657920278094,8560
285,203.77502433225055,8619
286,204.49351647396168,8557
287,205.21205562791434,8369
288,205.93064179410854,8341
289,206.64927497254425,8243
290,207.36795516322152,8429
291,208.08668236614028,8405
292,208.8054565813006,8155
293,209.52427780870246,8211
294,210.2431460483458,8248
295,210.96206130023072,8094
296,211.68102356435713,8112
297,212.40003284072512,7985
298,213.1190891293346,7976
299,213.83819243018561,7971
300,214.55734274327816,8011
301,215.27654006861223,7870
302,215.99578440618785,7771
303,216.715075756005,7761
304,217.43441411806364,7718
305,218.15379949236385,7705
306,218.87323187890556,7720
307,219.59271127768884,7663
308,220.31223768871362,7574
309,221.03181111197992,7620
310,221.75143154748778,7422
311,222.47109899523716,7337
312,223.19081345522804,7379
313,223.9105749274605,7472
314,224.63038341193445,7290
315,225.35023890864994,7262
316,226.07014141760698,7183
317,226.79009093880552,7281
318,227.5100874722456,7175
319,228.2301310179272,7082
320,228.95022157585035,7138
321,229.67035914601502,7091
322,230.3905437284212,7055
323,231.11077532306894,6856
324,231.8310539299582,6857
325,232.55137954908898,7046
326,233.2717521804613,6958
327,233.99217182407514,6725
328,234.71263847993052,6768
329,235.43315214802743,6706
330,236.15371282836585,6645
331,236.87432052094584,6594
332,237.5949752257673,6595
333,238.31567694283035,6514
334,239.03642567213492,6382
335,239.75722141368098,6373
336,240.4780641674686,6408
337,241.19895393349773,6608
338,241.91989071176843,6440
339,242.64087450228064,6365
340,243.36190530503436,6438
341,244.0829831200296,6404
342,244.8041079472664,6217
343,245.52527978674473,6343
344,246.2464986384646,6124
345,246.96776450242595,6135
346,247.68907737862887,6190
347,248.4104372670733,6226
348,249.13184416775928,6077
349,249.85329808068678,6117
350,250.5747990058558,6143
351,251.29634694326637,5992
352,252.01794189291843,5929
353,252.73958385481205,5955
354,253.46127282894722,6089
355,254.18300881532386,6064
356,254.9047918139421,6015
357,255.62662182480182,6010
358,256.3484988479031,5874
359,257.0704228832459,5870
360,257.7923939308302,5789
361,258.5144119906561,5812
362,259.23647706272345,5810
363,259.95858914703234,5827
364,260.6807482435828,5695
365,261.40295435237476,5774
366,262.1252074734083,5746
367,262.8475076066833,5653
368,263.56985475219983,5744
369,264.29224890995795,5818
370,265.0146900799576,5663
371,265.7371782621987,5612
372,266.45971345668136,5732
373,267.18229566340557,5600
374,267.90492488237135,5602
375,268.62760111357863,5566
376,269.35032435702743,5486
377,270.0730946127177,5551
378,270.79591188064956,5482
379,271.51877616082294,5544
380,272.2416874532379,5555
381,272.96464575789435,5511
382,273.68765107479226,5556
383,274.4107034039318,5406
384,275.13380274531283,5398
385,275.8569490989354,5362
386,276.5801424647995,5255
387,277.3033828429051,5479
388,278.0266702332522,5452
389,278.7500046358409,5259
390,279.47338605067114,5289
391,280.1968144777429,5426
392,280.92028991705615,5304
393,281.64381236861095,5329
394,282.36738183240726,5208
395,283.09099830844514,5186
396,283.8146617967245,5258
397,284.5383722972454,5347
398,285.2621298100079,5150
399,285.98593433501185,5152
400,286.7097858722574,5204
401,287.43368442174443,5181
402,288.15762998347293,5097
403,288.88162255744305,4982
404,289.6056621436547,5112
405,290.3297487421079,5156
406,291.05388235280253,5086
407,291.77806297573875,5001
408,292.5022906109165,5246
409,293.22656525833577,5152
410,293.95088691799657,5070
411,294.67525558989894,5049
412,295.39967127404276,5015
413,296.12413397042815,5085
414,296.84864367905504,4943
415,297.5732003999235,5030
416,298.29780413303354,4893
417,299.022454878385,5041
418,299.747152635978,4893
419,300.4718974058126,4912
420,301.1966891878887,4990
421,301.9215279822063,4908
422,302.6464137887655,4914
423,303.3713466075662,4862
424,304.0963264386084,4969
425,304.82135328189213,4965
426,305.5464271374174,4928
427,306.27154800518423,4924
428,306.99671588519254,4871
429,307.7219307774424,4941
430,308.4471926819338,4954
431,309.17250159866677,4816
432,309.89785752764124,4753
433,310.62326046885715,4760
434,311.3487104223147,4740
435,312.07420738801375,4719
436,312.7997513659543,4746
437,313.52534235613643,4813
438,314.25098035856,4823
439,314.97666537322516,4771
440,315.7023974001319,4753
441,316.4281764392801,4746
442,317.1540024906699,4743
443,317.8798755543011,4727
444,318.60579563017393,4716
445,319.33176271828825,4752
446,320.05777681864413,4593
447,320.7838379312415,4729
448,321.5099460560804,4587
449,322.2361011931609,4742
450,322.96230334248287,4592
451,323.6885525040464,4657
452,324.41484867785147,4686
453,325.1411918638981,4636
454,325.8675820621861,4599
455,326.59401927271574,4554
456,327.32050349548695,4655
457,328.04703473049966,4646
458,328.7736129777539,4598
459,329.50023823724956,4658
460,330.22691050898686,4694
461,330.95362979296567,4637
462,331.68039608918605,4547
463,332.40720939764793,4538
464,333.13406971835127,4566
465,333.86097705129623,4636
466,334.5879313964827,4505
467,335.3149327539107,4635
468,336.04198112358023,4615
469,336.7690765054912,4610
470,337.4962188996438,4612
471,338.2234083060379,4534
472,338.95064472467357,4513
473,339.6779281555507,4577
474,340.4052585986694,4558
475,341.1326360540296,4506
476,341.8600605216314,4304
477,342.5875320014747,4601
478,343.3150504935595,4562
479,344.04261599788583,4454
480,344.77022851445366,4416
481,345.4978880432631,4495
482,346.225594584314,4531
483,346.9533481376065,4513
484,347.6811487031405,4341
485,348.40899628091597,4589
486,349.13689087093303,4392
487,349.86483247319165,4382
488,350.5928210876918,4377
489,351.3208567144334,4459
490,352.04893935341653,4378
491,352.77706900464125,4399
492,353.5052456681075,4326
493,354.2334693438153,4392
494,354.9617400317646,4370
495,355.69005773195533,4505
496,356.41842244438766,4537
497,357.14683416906155,4395
498,357.875292905977,4514
499,358.6037986551339,4420
500,359.33235141653233,4316
501,360.0609511901724,4449
502,360.78959797605387,4412
